ID,Name,Type,Suitability,Height,Width,Position,Hardiness,Link,
,Hedera helix,Shrub,ground cover;motorway;dry;poor soil;native;evergreen,,,,,,
,Hedera helix 'Green Ripple',Shrub,ground cover;motorway;dry;poor soil;native;evergreen,,,,,,
,Hedera helix 'Hibernica',Shrub,ground cover;motorway;dry;poor soil;native;evergreen,,,,,,
,Hypericum calycinum,Shrub,ground cover;motorway;wet;dry;coastal;native;evergreen,,,,,,
,Hypericum 'Hidcote',Shrub,motorway;hedging;wet;dry;coastal;evergreen,,,,,,
,Hypericum moserianum,Shrub,motorway;dry;coastal;evergreen,,,,,,
,Ilex aquifolium,Shrub,motorway;hedging;dry;coastal;native;evergreen,,,,,,
,Ilex aquifolium 'J C Van Tol',Shrub,motorway;hedging;dry;coastal;evergreen,,,,,,
,Juniperus cvs eg 'Blue Carpet',Shrub,dry;evergreen,,,,,,
,Lavandula angustilolia 'Hidcote',Shrub,ground cover;dry;poor soil;evergreen,,,,,,
,Lavandula angustifolia,Shrub,ground cover;hedging;dry;poor soil;evergreen,,,,,,
,Lavandula angustifolia ''Munstead',Shrub,ground cover;dry;poor soil;evergreen,,,,,,
,Lavandula stoechas 'Pedunculata',Shrub,ground cover;dry;poor soil;evergreen,,,,,,
,Ligustrum ovalifolium 'Aureum',Shrub,motorway;hedging;poor soil;evergreen,,,,,,
,Lonicera nitida 'Baggesen's Gold',Shrub,motorway;hedging;poor soil;evergreen,,,,,,
,Lonicera nitida 'Maigrun',Shrub,ground cover;motorway;hedging;poor soil;evergreen,,,,,,
,Lonicera pileata,Shrub,ground cover;motorway;hedging;poor soil;evergreen,,,,,,
,Mahonia aquifolium,Shrub,ground cover;motorway;hedging;dry;poor soil;evergreen,,,,,,
,Mahonia japonica,Shrub,motorway;hedging;dry;evergreen,,,,,,
,Mahonia x media 'Charity',Shrub,motorway;hedging;dry;evergreen,,,,,,
,Olearia hastii,Shrub,dry;evergreen,,,,,,
,Olearia macrodonta,Shrub,dry;evergreen,,,,,,
,Osmanthus burkwoodii,Shrub,hedging;evergreen,,,,,,
,Pachysandra terminalis,Shrub,ground cover;dry;evergreen,,,,,,
,Perovskia atriplicifolia 'Blue Spire',Shrub,dry;coastal;poor soil;evergreen,,,,,,
,Philadelphus 'Belle Etoile',Shrub,,,,,,,
,Philadelphus coronarius 'Aureus',Shrub,,,,,,,
,Phormium tenax 'Purpureum',Shrub,coastal;evergreen,,,,,,
,Photinia x fraseri 'Red Robin',Shrub,hedging;dry;evergreen,,,,,,
,Potentilla fruticosa & cultivars,Shrub,ground cover;dry,,,,,,
,Prunus laurocerasus & cultivars,Shrub,ground cover;motorway;hedging;dry;evergreen,,,,,,
,Prunus lusitanica,Shrub,motorway;hedging;dry;evergreen,,,,,,
,Pyracantha coccinea & cultivars,Shrub,motorway;hedging;coastal;evergreen,,,,,,
,Ribes sanguineum & cultivars,Shrub,,,,,,,
,Rosa rugosa,Shrub,hedging;coastal;native,,,,,,
,Rosmarinus officinalis  'Miss Jessopp's Upright',Shrub,hedging;dry;evergreen,,,,,,
,Rubus 'Betty Ashburner',Shrub,ground cover;wet;evergreen,,,,,,
,Rubus tricolor,Shrub,ground cover;wet;dry;evergreen,,,,,,
,Sambucus nigra 'Aurea',Shrub,motorway;wet,,,,,,
,Santolina chamaecyparissus,Shrub,ground cover;dry;evergreen,,,,,,
,Sarcococca confusa,Shrub,evergreen,,,,,,
,Skimmia japonica 'Rubella',Shrub,evergreen,,,,,,
,Spiraea arguta,Shrub,,,,,,,
,Spiraea japonica 'Firelight',Shrub,ground cover;hedging,,,,,,
,Spiraea 'Goldflame',Shrub,ground cover;hedging,,,,,,
,Symphoricarpos chenaultii 'Hancock',Shrub,motorway;wet,,,,,,
,Ulex europaeu,Shrub,motorway;dry;coastal;poor soil;native;evergreen,,,,,,
,Viburnum davidii,Shrub,ground cover;evergreen,,,,,,
,Viburnum opulus,Shrub,motorway;native,,,,,,
,Viburnum tinus and cultivars,Shrub,motorway;hedging;evergreen,,,,,,
,Vinca major 'Variegata',Shrub,ground cover;evergreen,,,,,,
,Vinca minor alba,Shrub,ground cover;evergreen,,,,,,
,Vinca minor 'Argenteovariegata',Shrub,ground cover;evergreen,,,,,,
,Weigela florida 'Variegata',Shrub,hedging,,,,,,
,Acanthus spinosus,Perennial,ground cover;wet;dry;border;specimen;shade,,,,,,
,Achillia millefolium 'Gold Plate',Perennial,dry;exposed;border;specimen,,,,,,
,Ajuga reptans & varieties,Perennial,ground cover;wet;dry,,,,,,
,Alchemilla mollis,Perennial,ground cover;dry;exposed;border;shade,,,,,,
,Allium sp,Perennial,dry;border;specimen,,,,,,
,Anemanthele lessonia,Perennial,dry;border;specimen,,,,,,
,Anemone hybrida 'Honorine Jobert',Perennial,wet;dry;border,,,,,,
,Artemisia 'Powis Castle',Perennial,dry;border,,,,,,
,Asters sp,Perennial,wet;dry;border;specimen;shade,,,,,,
,Astrantia major,Perennial,wet;dry;border;shade,,,,,,
,Bergenia cordifolia & varieties,Perennial,ground cover;exposed;shade,,,,,,
,Calamagrostis acutiflora 'Karl Foerster',Perennial,specimen,,,,,,
,Carex oshimensis 'Evergold',Perennial,dry;border,,,,,,
,Crocosmia Lucifer,Perennial,wet;dry;border,,,,,,
,Digitalis purpurea,Perennial,wet;border;shade,,,,,,
,Dryopteris felix-mas,Perennial,wet;shade,,,,,,
,Echinacea purpurea,Perennial,wet;dry;border,,,,,,
,Euphorbia amygdaloides 'Purpurea',Perennial,wet;border;shade,,,,,,
,Euphorbia amygdaloides 'Robbiae',Perennial,ground cover;wet;border;shade,,,,,,
,Euphorbia griffithii 'Fireglow',Perennial,wet;border;shade,,,,,,
,Euphorbia martinii,Perennial,wet;dry;border,,,,,,
,Euphorbia wulfenii,Perennial,dry;border;specimen,,,,,,
,Fargesia murieliae 'Simba',Grass,border;specimen,,,,,,
,Festuca glauca & varieties,Perennial,dry;border;specimen,,,,,,
,Filipendula ulmaria,Perennial,ground cover;wet;dry;border;shade,,,,,,
,Geranium endressii 'Wargrave Pink',Perennial,ground cover;wet;dry;exposed;border,,,,,,
,Geranium macrorrhizum,Perennial,ground cover;wet;dry;exposed;border,,,,,,
,Helleborus orientalis,Perennial,wet;border;shade,,,,,,
,Hemerocallis Stella de Oro',Perennial,wet;dry;border,,,,,,
,Heuchera micrantha 'Palace Purple',Perennial,ground cover;dry;border;shade,,,,,,
,Hosta sp & cultivars,Perennial,ground cover;wet;dry;exposed;border;specimen;shade,,,,,,
,Iris foetidissima,Perennial,wet;border;shade,,,,,,
,Iris pallida 'Argentea Variegata',Perennial,wet;border,,,,,,
,Lamium maculatum 'Beacon Silver',Perennial,ground cover;wet,,,,,,
,Liriope muscari,Perennial,dry;border,,,,,,
