ID,Name,Type,Ground Cover,Motorway,Hedging,Wet,Dry,Coastal,Exposed,Poor soil,Native,Evergreen,Border_H,Specimen_H,Shade,Street_T,Specimen_T,Lime_T,Score
,Lavandula angustifolia ''Munstead',Shrub,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,4
,Lavandula stoechas 'Pedunculata',Shrub,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,4
,Ligustrum ovalifolium 'Aureum',Shrub,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,4
,Lonicera nitida 'Baggesen's Gold',Shrub,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,4
,Lonicera nitida 'Maigrun',Shrub,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,5
,Lonicera pileata,Shrub,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,5
,Mahonia aquifolium,Shrub,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,6
,Mahonia japonica,Shrub,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,4
,Mahonia x media 'Charity',Shrub,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,4
,Olearia hastii,Shrub,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
,Olearia macrodonta,Shrub,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
,Osmanthus burkwoodii,Shrub,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
,Pachysandra terminalis,Shrub,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3
,Perovskia atriplicifolia 'Blue Spire',Shrub,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,4
,Philadelphus 'Belle Etoile',Shrub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Philadelphus coronarius 'Aureus',Shrub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Phormium tenax 'Purpureum',Shrub,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
